Sample,T_C,SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,Type,Place,Colour,Symbol,Size,reference,carbon dioxide,SiO2_sd,TiO2_sd,Al2O3_sd,FeOT_sd,MnO_sd,MgO_sd,CaO_sd,Na2O_sd,K2O_sd,P2O5_sd,H2O_sd,CO2ppm_sd,STppm_sd,Xppm_sd,Fe3FeT_sd,SiO2_sd_type,TiO2_sd_type,Al2O3_sd_type,FeOT_sd_type,MnO_sd_type,MgO_sd_type,CaO_sd_type,Na2O_sd_type,K2O_sd_type,P2O5_sd_type,H2O_sd_type,CO2ppm_sd_type,STppm_sd_type,Xppm_sd_type,Fe3FeT_sd_type
TN273-01D-01-01,1200,56.98,1.66,15.52,9.47,0.24,2.96,6.49,4.06,0.38,0.22,1.88,13,362.83,0,0.171,MG,"Mariana Trough, MG",grey,diamond,10,Brounce+2016 G3 17(10):4078-4091,Dixon95,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
TN273-02D-01-02,1200,56.92,1.54,15.53,9.35,0.18,3.43,6.96,3.72,0.38,0.23,1.61,31,314.04,0,0.207,MG,"Mariana Trough, MG",grey,diamond,10,Brounce+2016 G3 17(10):4078-4091,Dixon97,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-4,1200,45.45,0.65,17.27,10.19,0.23,5.54,12.32,1.75,0.35,0.1,6.02,189,1080.13,0,0.237,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Lesne11,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-9,1200,48.2,0.76,17.29,9.14,0.18,4.82,12.08,2.21,0.56,0.13,4.4,371,830.67,0,0.238,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,VES-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-15A,1200,47.72,0.81,16.73,10.67,0.22,5.66,11.33,2.31,0.61,0.16,3.5,449,1352.27,0,0.254,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,ETN-1,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr07-15B,1200,47.97,0.86,16.83,10.42,0.19,5.55,11.33,2.35,0.66,0.16,3.42,207,1369.75,0,0.242,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,PST-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr04-13,1200,50.94,0.8,16.72,8.83,0.2,4.86,10.16,2.73,0.83,0.19,3.47,405,976.9,0,0.217,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Sunset Crater,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Agr04-14,1200,48.7,0.78,18.6,9.31,0.17,5.35,12.06,2.08,0.58,0.15,1.96,142,1486.77,0,0.243,MI,"Agrigan, Mariana MI",firebrick,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,SFVF,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-4,1200,46.81,0.64,17.25,9.5,0.26,4.59,12.79,1.96,0.38,0.11,3.25,629,1170,0,0.247,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Erebus,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-7,1200,47.01,0.84,18.29,9.33,0.17,4.34,12.66,2.31,0.54,0.17,2.72,142,1404,0,0.22,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Vesuvius,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
