Sample,SiO2,TiO2,Al2O3,MnO,MgO,FeOT,CaO,Na2O,K2O,P2O5,total,Symbol,Size,Colour
MORB_Dixon95,49,2.3,13,0,10,11,11,2.2,0.5,0.1,99.1,star,15,orange
VesuviusAlkaliBasalt_Lesne11,48.67,0.97,14.72,0.14,6.82,7.62,12.94,1.82,5.83,0.66,100.19,circle,8,orange
EtnaAlkaliBasalt_Lesne11,47.95,1.67,17.32,0.17,5.76,10.24,10.93,3.45,1.99,0.51,99.99,square,8,orange
StromboliAlkaliBasalt_Lense11,49.82,0.81,15.94,0.2,8.07,7.71,12.81,2.32,1.92,0.4,100,diamond,8,orange
SunsetCraterAlkaliBasalt_Allison19,48.21,1.86,16.44,0.18,8.58,9.92,10.06,3.46,0.82,0.47,100,cross,8,orange
SVFVBasalticAndesite_Allison19,53.3,1.14,16.75,0.17,6.42,7.58,9.32,3.22,1.35,0.74,99.99,triangle-up,8,orange
ErebusPhonotephrite_Allison19,48.38,2.81,19.27,0.25,3.19,8.92,6.93,6.16,2.89,1.19,99.99,triangle-down,8,orange
VesuviusPhonotephrite_Allison19,49.2,0.98,15.5,0.22,6.79,7.01,11.77,1.94,5.93,0.64,99.98,triangle-left,8,orange
EtnaTrachybasalt_Allison19,48.77,1.79,16.98,0.18,6.33,8.7,11.26,3.65,1.79,0.53,99.98,triangle-right,8,orange
StromboliAlkaliBasalt_Allison19,50.03,0.82,16.74,0.2,8.03,6.56,12.74,2.46,1.99,0.41,99.98,triangle-ne,8,orange
Basanite_Holloway94,45,2.9,15,0,8,12,8,4.3,1.1,0.8,97.1,triangle-se,8,orange
Leucitite_Thibault94,44.11,2.69,12.8,0.19,9.14,9.040491631,14.34,3.2,3.45,0.77,99.73049163,triangle-sw,8,orange
TholeiiteBasalt_Allison22,50.17,0.92,18.28,0.17,7,9.37,11.37,2.33,0.23,0.15,99.99,triangle-nw,8,orange
Rhyolite_Blank93,77.7,0.07,13,0.04,0.05,0.38,0.52,4.08,4.19,0,100.03,pentagon,8,orange
Mangan_Sisson00 [rhyolite],75.64,0.08,12.38,0.07,0.03,0.94,0.54,4.17,4.72,0.01,98.58,hexagon,8,orange
"Tamic+01 [rhyolite, 800]",77.04,0.11,12.76,0.07,0.08,0.68,0.58,4.07,4.07,0,99.46,hexagon2,8,orange
"Tamic+01 [rhyolite, 1100]",77.04,0.11,12.76,0.07,0.08,0.68,0.58,4.07,4.07,0,99.46,diamond-tall,8,orange
Behrens+04 [dacite],65.84,0.66,15.44,0.07,2.14,4.73,4.89,3.68,2.55,0,100,star,15,orange
Botcharnikov06 [andesite],57.44,1.06,17.53,0.12,4.31,7.2,7.42,3.32,1.61,0,100.01,diamond-wide,8,orange
Hughes+18 [Etna],48.65181818,1.64,16.89681818,0.246363636,5.928636364,9.690909091,6.737272727,3.870909091,1.779090909,0.480909091,95.92272727,star-triangle-down,8,orange
Mangan+21 [Pavlof],53,1.17,18.9,0.28,4.5,8.96,8.94,3.54,0.6,0,99.89,star-triangle-up,8,orange
Shishkina+10 [Tholeiite],50.17,0.92,18.28,0.17,7,9.37,11.37,2.33,0.23,0.15,99.99,star-square,8,orange
Vetere+11 [Shoshonite],53.47,0.71,15.48,0.1,4.88,8.39,8.51,3.66,4.72,0,99.92,star-diamond,8,orange
Behrens+09 [ultrapotassic],49.89,0.89,15.57,0.02,5.75,7.82,11.4,1.95,7.52,0,100.81,hourglass,8,orange
Schanofski+19 [phonolite],55.82,0.31,21.75,0.15,0.43,2.618450054,3.19,5.45,9.9,0,99.61845005,bowtie,8,orange
Schanofski+19 [leucite],44.45,0.97,16.29,0.26,4.14,9.735955184,10.97,2.86,9.19,0,98.86595518,circle-dot,8,orange
IaconoMarziano+14 [Etna],47.95,1.67,17.32,0,5.76,10.24,10.93,3.45,1.99,0.51,99.82,square-dot,8,orange
Lesne+11 [St8.1],51.772,0.828,18.606,0,6.192,7.317263175,11.026,2.008,1.44,0,99.18926318,diamond-dot,8,orange
Lesne+11 [Masaya],50.85176471,1.174117647,18.84823529,0,3.311176471,11.18306302,9.304117647,2.823529412,1.254705882,0,98.75071008,x,8,orange
Allison+19 [Etna],47.46,1.81,16.17,0.2,6.74,10.47,11.42,3.48,1.72,0.52,99.99,x-dot,8,orange
Shishkina+14 [alkali basalt],47.3,2.35,14.17,0.17,10.36,10.82,9.94,3.52,0.83,0.47,99.93,triangle-up-dot,8,orange
Shishkina+14 [basanite],43.64,2.64,12.62,0.19,12.07,11.54,11.82,3.68,1.01,0.7,99.91,triangle-down-dot,8,orange
Tholeiite (Pan+91),49,2.3,13,0,10,11,11,2.2,0.5,0.1,99.1,triangle-right-dot,8,orange
Tholeiite (Stolper+Holloway88),50.92,2.02,13.71,0.19,7.11,12.56,10.88,2.63,0.16,0,100.18,triangle-left-dot,8,orange
basalt (Stanley+11),46.91,0.53,10.52,0.38,10.79,19.87,7.99,2.4,0.11,0.52,100.02,diamond-tall-dot,8,orange
AH3 phonotephrite (Allison+19),53.47,0.71,15.48,0.1,4.88,8.39,8.51,3.66,4.72,0,99.92,diamond-wide-dot,8,orange
