Sample,T_C,P_bar,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,total_mass_g,Type,Place,Colour,Symbol,reference
TN273-01D-01-01,1200,,56.98,1.66,15.52,,,,9.47,0.24,2.96,6.49,4.06,0.38,0.22,1.88,13,362.83,0,0.171,,,MG,"Mariana Trough, MG",steelblue,circle,
TN273-02D-01-02,1200,,56.92,1.54,15.53,,,,9.35,0.18,3.43,6.96,3.72,0.38,0.23,1.61,31,314.04,0,0.207,,,MG,"Mariana Trough, MG",steelblue,circle,
Agr07-4,1200,,45.45,0.65,17.27,,,,10.19,0.23,5.54,12.32,1.75,0.35,0.1,6.02,189,1080.13,0,0.237,,,MI,"Agrigan, Mariana MI",steelblue,circle,
Agr07-9,1200,,48.2,0.76,17.29,,,,9.14,0.18,4.82,12.08,2.21,0.56,0.13,4.4,371,830.67,0,0.238,,,MI,"Agrigan, Mariana MI",steelblue,circle,
Agr07-15A,1200,,47.72,0.81,16.73,,,,10.67,0.22,5.66,11.33,2.31,0.61,0.16,3.5,449,1352.27,0,0.254,,,MI,"Agrigan, Mariana MI",steelblue,circle,
Agr07-15B,1200,,47.97,0.86,16.83,,,,10.42,0.19,5.55,11.33,2.35,0.66,0.16,3.42,207,1369.75,0,0.242,,,MI,"Agrigan, Mariana MI",steelblue,circle,
Agr04-13,1200,,50.94,0.8,16.72,,,,8.83,0.2,4.86,10.16,2.73,0.83,0.19,3.47,405,976.9,0,0.217,,,MI,"Agrigan, Mariana MI",steelblue,circle,
Agr04-14,1200,,48.7,0.78,18.6,,,,9.31,0.17,5.35,12.06,2.08,0.58,0.15,1.96,142,1486.77,0,0.243,,,MI,"Agrigan, Mariana MI",steelblue,circle,
AGR19-02-4,1200,,46.81,0.64,17.25,,,,9.5,0.26,4.59,12.79,1.96,0.38,0.11,3.25,629,1170,0,0.247,,,MI,"Agrigas, Marianas",steelblue,circle,
AGR19-02-7,1200,,47.01,0.84,18.29,,,,9.33,0.17,4.34,12.66,2.31,0.54,0.17,2.72,142,1404,0,0.22,,,MI,"Agrigas, Marianas",steelblue,circle,
AGR19-02-10,1200,,46.02,0.73,17.81,,,,8.99,0.15,4.59,12.64,1.77,0.37,0.14,4.56,485,1577,0,0.27,,,MI,"Agrigas, Marianas",steelblue,circle,
AGR19-02-11,1200,,46.81,0.76,17.66,,,,9.1,0.21,4.62,12.42,2,0.43,0.12,3.49,419,1117,0,0.241,,,MI,"Agrigas, Marianas",steelblue,circle,
AGR19-02-12B,1200,,46.43,0.73,17.85,,,,10.18,0.23,4.05,12.61,2.11,0.48,0.09,3,431,1453,0,0.226,,,MI,"Agrigas, Marianas",steelblue,circle,
