Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
CY16-GLASS-135,1200,,5000,100,,,,54.0445,0.2569,13.0553,,,,7.9968,0.1507,10.5146,12.4596,0.5556,0.0694,0.0322,2,500,900,0,0.12,0.192202147,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,,,51.28782609,2.503478261,13.70347826,,,,9.91,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0,3,1000,10000,0,,0.05,,,5.89E-10,0.001047177,1.66E-05,1.24E-10,,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,,,51.28782609,2.503478261,13.70347826,,,,9.91,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0,3,1000,10000,0,,0.95,,,5.89E-10,0.001047177,1.66E-05,1.24E-10,,,,,,,,,-17,,-17
Tw,1100,,,,,1.5,,49,0.76,16.72,,,,9.942755817,0.13,6.51,9.1,2.13,0.46,0.14,5,5000,2000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1000,,,,,51.28782609,2.503478261,13.70347826,,,,9.91,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0,5,0,10000,0,0.1,,,,5.89E-10,0.001047177,1.66E-05,1.24E-10,,,,,,,,,-17,,-17
74220 A2 MI,1500,,,,,-5,,39.17645895,9.34112534,5.688916317,,,,22.12864474,0.229695222,14.67066546,8.249872464,0.324517405,0.055744879,0.019966835,0.114369423,14.59333333,688.5382048,0,,,,,,,,,,,,,,,,,,,
74220 A2 MI,1500,,,,,-4,,39.17645895,9.34112534,5.688916317,,,,22.12864474,0.229695222,14.67066546,8.249872464,0.324517405,0.055744879,0.019966835,0.114369423,14.59333333,688.5382048,0,,,,,,,,,,,,,,,,,,,
74220 A2 MI,1500,,,,,-3,,39.17645895,9.34112534,5.688916317,,,,22.12864474,0.229695222,14.67066546,8.249872464,0.324517405,0.055744879,0.019966835,0.114369423,14.59333333,688.5382048,0,,,,,,,,,,,,,,,,,,,
74220 A2 MI,1500,,,,,-2,,39.17645895,9.34112534,5.688916317,,,,22.12864474,0.229695222,14.67066546,8.249872464,0.324517405,0.055744879,0.019966835,0.114369423,14.59333333,688.5382048,0,,,,,,,,,,,,,,,,,,,
74220 A2 MI,1500,,,,,-1,,39.17645895,9.34112534,5.688916317,,,,22.12864474,0.229695222,14.67066546,8.249872464,0.324517405,0.055744879,0.019966835,0.114369423,14.59333333,688.5382048,0,,,,,,,,,,,,,,,,,,,
Rhyolite (Blank93),850,,1,,,0,,77.7,0.07,13,,,,0.38,0.04,0.05,0.52,4.08,4.19,0,0,0,0,,,,,,,,,,,,,,,,,,,,
MORB (Dixon95),1200,,1,,,0,,49,2.3,13,,,,11,0,10,11,2.2,0.5,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1,,,0,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,0,0,0,,,,,5.89E-10,0.001047177,1.66E-05,1.24E-10,,,,,,,,,-17,,-17
HeloMORB,1100,,1,,,-0.4,,48.48,0.947,14.84,,,,9.75,0.163,9.41,12.17,2.23,0.122,0.06,0.379,9159,1379,0,,,,,,,,,,,,,,,,,,,
HeloMORB,1100,,1,,,-0.4,,48.48,0.947,14.84,,,,9.75,0.163,9.41,12.17,2.23,0.122,0.06,0.379,9159,1379,10,,,,,,,,,,,,,,,,,,,
North Head,1190,,1,,0,,,38.48,2.64,11.79,,,,10.88,0.17,7.17,13.47,4.29,1.64,0.93,1.5,2000,1400,,,,,,,,,,,,,,,,,,,,
Rangitoto,1190,,1,,0,,,49.57,2.09,15.32,,,,10.66,0.16,7.5,9.54,3.32,0.73,0.29,1.5,2000,1400,,,,,,2.76E-12,0.016862476,0.000168682,0.000451461,,,,,,,,,,,
ETNA,1250,900,1,,,,,52.46,2.1,13.74,,,,8.49,0.14,9.03,10.74,2.75,0.4,0.14,0.2,50,0,,0.15,,,,5.03E-09,0.002919601,8.11E-07,0.00026502,,,,,,,,,,,
